Date,Open,High,Low,Close,Change,P_Open,P_High,P_Low,P_Close,P_High+Low,P_Change,P_4_Price,P_Close-High,P_High-Low,Action
09.02.2022,17.799,18.265,17.779,18.048,0.249,17.98,17.984,17.589,17.799,35.573,-0.659,71.35,-0.185,0.395,1
09.01.2022,17.977,17.984,17.589,17.799,-0.659,18.00,18.468,17.844,18.458,36.312,0.318,72.77,-0.01,0.624,1
09.07.2022,17.996,18.468,17.844,18.458,0.318,18.05,18.241,17.945,18.14,36.186,0.141,72.37,-0.101,0.296,0
09.05.2022,18.048,18.241,17.945,18.14,0.141,18.14,18.504,17.949,17.999,36.453,-0.655,72.59,-0.505,0.555,1
09.06.2022,18.14,18.504,17.949,17.999,-0.655,18.26,18.896,18.263,18.654,37.159,0.264,74.08,-0.242,0.633,1
10.17.2022,18.264,18.896,18.263,18.654,0.264,18.35,18.76,18.323,18.39,37.083,-0.506,73.82,-0.37,0.437,0
09.27.2022,18.349,18.76,18.323,18.39,-0.506,18.39,18.966,17.986,18.896,36.952,0.205,74.24,-0.07,0.98,1
09.28.2022,18.389,18.966,17.986,18.896,0.205,18.41,18.721,18.208,18.691,36.929,0.711,74.03,-0.03,0.513,0
07.15.2022,18.413,18.721,18.208,18.691,0.711,18.43,18.528,17.947,17.98,36.475,-0.638,72.88,-0.548,0.581,1
08.31.2022,18.427,18.528,17.947,17.98,-0.638,18.43,18.696,18.385,18.618,37.081,-0.044,74.13,-0.078,0.311,1
07.26.2022,18.427,18.696,18.385,18.618,-0.044,18.45,18.96,18.232,18.662,37.192,0.128,74.30,-0.298,0.728,0
10.20.2022,18.449,18.96,18.232,18.662,0.128,18.46,18.714,18.348,18.534,37.062,-0.305,74.06,-0.18,0.366,0
09.08.2022,18.459,18.714,18.348,18.534,-0.305,18.53,18.931,18.517,18.839,37.448,0.409,74.82,-0.092,0.414,1
09.09.2022,18.532,18.931,18.517,18.839,0.409,18.59,18.773,18.324,18.43,37.097,-0.663,74.12,-0.343,0.449,0
07.25.2022,18.588,18.773,18.324,18.43,-0.663,18.62,19.118,18.464,19.093,37.582,0.365,75.29,-0.025,0.654,1
07.27.2022,18.619,19.118,18.464,19.093,0.365,18.65,18.905,18.55,18.728,37.455,-0.652,74.83,-0.177,0.355,0
10.18.2022,18.648,18.905,18.55,18.728,-0.652,18.66,19.38,18.292,19.38,37.672,0.519,75.71,0,1.088,1
10.21.2022,18.659,19.38,18.292,19.38,0.519,18.66,18.872,18.252,18.861,37.124,0.116,74.65,-0.011,0.62,0
07.21.2022,18.664,18.872,18.252,18.861,0.116,18.68,18.898,18.586,18.745,37.484,0.057,74.91,-0.153,0.312,1
07.19.2022,18.683,18.898,18.586,18.745,0.057,18.69,18.971,18.643,18.688,37.614,0.237,74.99,-0.283,0.328,1
07.18.2022,18.69,18.971,18.643,18.688,0.237,18.72,18.795,18.384,18.451,37.179,-0.217,74.35,-0.344,0.411,1
10.19.2022,18.722,18.795,18.384,18.451,-0.217,18.75,19.073,18.654,18.668,37.727,0.237,75.14,-0.405,0.419,1
07.20.2022,18.745,19.073,18.654,18.668,0.237,18.77,18.832,18.374,18.431,37.206,-0.597,74.41,-0.401,0.458,0
08.30.2022,18.772,18.832,18.374,18.431,-0.597,18.82,19.27,18.787,19.028,38.057,-0.763,75.90,-0.242,0.483,1
09.30.2022,18.816,19.27,18.787,19.028,-0.763,18.84,19.97,18.841,19.791,38.811,1.2,77.44,-0.179,1.129,0
09.12.2022,18.841,19.97,18.841,19.791,1.2,18.86,18.905,18.513,18.591,37.418,0.237,74.87,-0.314,0.392,0
07.22.2022,18.859,18.905,18.513,18.591,0.237,18.87,19.008,18.328,18.354,37.336,0.088,74.56,-0.654,0.68,1
09.26.2022,18.869,19.008,18.328,18.354,0.088,18.88,19.055,18.099,18.266,37.154,-0.552,74.30,-0.789,0.956,1
10.14.2022,18.88,19.055,18.099,18.266,-0.552,18.89,18.893,18.522,18.818,37.415,0.044,75.13,-0.075,0.371,1
09.29.2022,18.893,18.893,18.522,18.818,0.044,18.91,18.905,18.518,18.774,37.423,-0.428,75.10,-0.131,0.387,0
08.29.2022,18.905,18.905,18.518,18.774,-0.428,18.93,19.381,18.885,19.202,38.266,0.096,76.39,-0.179,0.496,1
07.13.2022,18.926,19.381,18.885,19.202,0.096,18.98,19.263,18.834,19.106,38.097,0.225,76.19,-0.157,0.429,0
08.23.2022,18.982,19.263,18.834,19.106,0.225,19.02,19.278,18.523,18.881,37.801,-1.821,75.70,-0.397,0.755,1
10.13.2022,19.02,19.278,18.523,18.881,-1.821,19.03,20.706,19.024,20.702,39.73,1.717,79.46,-0.004,1.682,1
10.03.2022,19.026,20.706,19.024,20.702,1.717,19.05,19.147,18.733,18.985,37.88,-1.02,75.91,-0.162,0.414,0
08.22.2022,19.045,19.147,18.733,18.985,-1.02,19.09,20.015,19.06,20.005,39.075,0.892,78.17,-0.01,0.955,1
