Date,Open,High,Low,Close,Change,P_Open,P_High,P_Low,P_Close,P_High-Open,P_Change,P_4_Price,P_Close-High,P_High-Low,Action
2020-03-20,12.135,13.03,12.05,12.6,0.6455,12.7395,12.8875,11.64,11.9545,0.148,-0.162,49.2215,-0.933,1.2475,1
2020-03-17,12.9445,13.2485,12.13,12.6545,0.0545,12.135,13.03,12.05,12.6,0.895,0.6455,49.815,-0.43,0.98,1
2020-03-23,12.39,13.2885,12.33,13.2735,0.619,12.9445,13.2485,12.13,12.6545,0.304,0.0545,50.9775,-0.594,1.1185,1
2015-12-15,13.71,13.83,13.68,13.77,0.4965,12.39,13.2885,12.33,13.2735,0.8985,0.619,51.282,-0.015,0.9585,1
2016-01-12,13.88,13.92,13.75,13.78,0.01,13.71,13.83,13.68,13.77,0.12,0.4965,54.99,-0.06,0.15,0
2015-12-14,13.969,13.969,13.648,13.68,-0.1,13.88,13.92,13.75,13.78,0.04,0.01,55.33,-0.14,0.17,1
2015-12-31,13.8,13.98,13.8,13.8425,0.1625,13.969,13.969,13.648,13.68,0,-0.1,55.266,-0.289,0.321,1
2016-01-18,13.88,14,13.85,13.945,0.1025,13.8,13.98,13.8,13.8425,0.18,0.1625,55.4225,-0.1375,0.18,0
2015-12-30,13.9555,14.0015,13.79,13.89,-0.055,13.88,14,13.85,13.945,0.12,0.1025,55.675,-0.055,0.15,1
2015-12-29,13.958,14.07,13.925,13.9625,0.0725,13.9555,14.0015,13.79,13.89,0.046,-0.055,55.637,-0.1115,0.2115,1
2016-01-05,13.903,14.08,13.9,13.99,0.0275,13.958,14.07,13.925,13.9625,0.112,0.0725,55.9155,-0.1075,0.145,0
2016-01-11,14.02,14.08,13.84,13.86,-0.13,13.903,14.08,13.9,13.99,0.177,0.0275,55.873,-0.09,0.18,1
2016-01-15,13.867,14.13,13.775,13.89,0.03,14.02,14.08,13.84,13.86,0.06,-0.13,55.8,-0.22,0.24,1
2018-11-13,13.99,14.13,13.958,13.9915,0.1015,13.867,14.13,13.775,13.89,0.263,0.03,55.662,-0.24,0.355,0
2020-04-01,13.96,14.15,13.82,13.96,-0.0315,13.99,14.13,13.958,13.9915,0.14,0.1015,56.0695,-0.1385,0.172,1
2016-01-06,13.992,14.1505,13.8995,14.01,0.05,13.96,14.15,13.82,13.96,0.19,-0.0315,55.89,-0.19,0.33,0
2015-12-17,14.13,14.152,13.69,13.73,-0.28,13.992,14.1505,13.8995,14.01,0.1585,0.05,56.052,-0.1405,0.251,1
2015-12-11,14.11,14.16,13.79,13.9495,0.2195,14.13,14.152,13.69,13.73,0.022,-0.28,55.702,-0.422,0.462,1
2015-12-03,14.01,14.17,13.84,14.11,0.1605,14.11,14.16,13.79,13.9495,0.05,0.2195,56.0095,-0.2105,0.37,0
2016-01-14,14.15,14.18,13.76,13.84,-0.27,14.01,14.17,13.84,14.11,0.16,0.1605,56.13,-0.06,0.33,1
2016-01-19,13.92,14.19,13.89,14.03,0.19,14.15,14.18,13.76,13.84,0.03,-0.27,55.93,-0.34,0.42,1
2016-01-21,14.12,14.19,13.89,14.1,0.07,13.92,14.19,13.89,14.03,0.27,0.19,56.03,-0.16,0.3,1
2015-11-23,14.15,14.2,13.92,14.14,0.04,14.12,14.19,13.89,14.1,0.07,0.07,56.3,-0.09,0.3,0
2015-11-30,14.06,14.2,14.01,14.0815,-0.0585,14.15,14.2,13.92,14.14,0.05,0.04,56.41,-0.06,0.28,0
2016-01-04,13.93,14.2,13.845,13.87,-0.2115,14.06,14.2,14.01,14.0815,0.14,-0.0585,56.3515,-0.1185,0.19,1
2016-01-13,13.81,14.2,13.77,14.165,0.295,13.93,14.2,13.845,13.87,0.27,-0.2115,55.845,-0.33,0.355,0
2016-01-20,14.04,14.2,14,14.14,-0.025,13.81,14.2,13.77,14.165,0.39,0.295,55.945,-0.035,0.43,0
2018-11-14,13.9995,14.2,13.9,14.13,-0.01,14.04,14.2,14,14.14,0.16,-0.025,56.38,-0.06,0.2,0
2018-11-12,14.162,14.212,13.9895,13.9945,-0.1355,13.9995,14.2,13.9,14.13,0.2005,-0.01,56.2295,-0.07,0.3,1
2015-12-18,13.765,14.22,13.72,14.1,0.1055,14.162,14.212,13.9895,13.9945,0.05,-0.1355,56.358,-0.2175,0.2225,1
2018-09-11,14.16,14.23,13.95,14.14,0.04,13.765,14.22,13.72,14.1,0.455,0.1055,55.805,-0.12,0.5,0
2015-12-02,14.2135,14.2345,13.93,14.02,-0.12,14.16,14.23,13.95,14.14,0.07,0.04,56.48,-0.09,0.28,1
